Primary Identifier	gene_symbol	description	massspec_evidence	go_annotation_mitochondrial	gfp_evidence	organism_name	mtstargetp	mtsmitoprot	mtsmitofates	cellular_location	cellular_location_evidence	mito_sublocation	mito_sublocation_evidence
YAL054C	ACS1	"Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions"	3	TRUE	1	S. cerevisiae S288C	0.109	0.0206	0	"cytosol;mitochondrion;nucleus;endoplasmic reticulum"	"MassSpec;GFP;Gene Ontology"	mitochondrial inner membrane	mass-spec
YGL256W	ADH4	"Alcohol dehydrogenase isoenzyme type IV; dimeric enzyme demonstrated to be zinc-dependent despite sequence similarity to iron-activated alcohol dehydrogenases; transcription is induced in response to zinc deficiency"	3	TRUE	1	S. cerevisiae S288C	0.053	0.0438	0	"cytosol;mitochondrion"	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	mass-spec
YGR150C	CCM1	"Mitochondrial 15S rRNA-binding protein; required for intron removal of COB and COX1 pre-mRNAs; has separable roles in stabilizing mitochondrial 15S rRNA and in maturation of the COB and COX1 mRNAs; contains pentatricopeptide repeat (PPR) motifs; mutant is respiratory deficient and has defective plasma membrane electron transport"	3	TRUE	1	S. cerevisiae S288C	0.655	0.8414	0.109	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	mass-spec
YLL001W	DNM1	"Dynamin-related GTPase involved in mitochondrial organization; required for mitochondrial fission and morphology; assembles on the cytoplasmic face of mitochondrial tubules at sites at which division will occur; also participates in endocytosis and regulating peroxisome abundance"	3	TRUE	1	S. cerevisiae S288C	0.028	0.0654	0	"cytosol;mitochondrion;peroxisome"	"MassSpec;GFP;Gene Ontology"	mitochondrial outer membrane	Gene Ontology
YLR253W	MCP2	"Mitochondrial protein of unknown function involved in lipid homeostasis; integral membrane protein that localizes to the mitochondrial inner membrane; involved in mitochondrial morphology; non-essential gene which interacts genetically with MDM10, and other members of the ERMES complex; transcription is periodic during the metabolic cycle; homologous to human aarF domain containing kinase, ADCK1"	3	TRUE	1	S. cerevisiae S288C	0.823	0.9604	0.45	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YHR100C	GEP4	"Mitochondrial phosphatidylglycerophosphatase (PGP phosphatase); dephosphorylates phosphatidylglycerolphosphate to generate phosphatidylglycerol, an essential step during cardiolipin biosynthesis; null mutant is sensitive to tunicamycin, DTT"	3	TRUE	1	S. cerevisiae S288C	0.2	0.5951	0.012	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YDR305C	HNT2	"Dinucleoside triphosphate hydrolase; has similarity to the tumor suppressor FHIT and belongs to the histidine triad (HIT) superfamily of nucleotide-binding proteins"	3	FALSE	1	S. cerevisiae S288C	None	None	None	mitochondrion	"MassSpec;GFP"	mitochondrial matrix/mitochondrial inner membrane	mass-spec
YOR161C	PNS1	"Protein of unknown function; has similarity to Torpedo californica tCTL1p, which is postulated to be a choline transporter, neither null mutation nor overexpression affects choline transport"	1	FALSE	1	S. cerevisiae S288C	0.249	0.0021	0	"mitochondrion;plasma membrane"	"MassSpec;GFP;Gene Ontology"	mitochondrial inner membrane	mass-spec
YDL215C	GDH2	"NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis"	3	FALSE	0	S. cerevisiae S288C	0.194	0.0352	0	mitochondrion	MassSpec	mitochondrial inner membrane	mass-spec
YJL209W	CBP1	"Mitochondrial protein, regulator of COB mRNA stability and translation; interacts with the 5'-untranslated region of the COB mRNA; found in a complex at the inner membrane along with Pet309p; localizes to mitochondrial foci upon DNA replication stress"	2	TRUE	4	S. cerevisiae S288C	0.891	0.9695	0.784	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YDR538W	PAD1	"Phenylacrylic acid decarboxylase; confers resistance to cinnamic acid, decarboxylates aromatic carboxylic acids to the corresponding vinyl derivatives; also has mRNA binding activity; homolog of E. coli UbiX"	2	TRUE	3	S. cerevisiae S288C	0.795	0.9797	0.809	mitochondrion	"MassSpec;GFP;Gene Ontology"	-	-
YGR257C	MTM1	"Mitochondrial protein of the mitochondrial carrier family; high affinity pyridoxal 5&#8242;-phosphate transporter; involved in mitochondrial iron homeostasis and in activating mitochondrial Sod2p by facilitating insertion of an essential manganese cofactor"	2	TRUE	3	S. cerevisiae S288C	0.227	0.5979	0.047	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YNL211C	MRX7	"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YNL211C is not an essential gene"	2	TRUE	3	S. cerevisiae S288C	0.345	0.6028	0.138	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	mass-spec
YGL226W	MTC3	"Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion; mtc3 is synthetically sick with cdc13-1"	2	TRUE	3	S. cerevisiae S288C	0.831	0.7847	0.645	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YPL168W	MRX4	"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion; expression may be cell cycle-regulated"	2	TRUE	3	S. cerevisiae S288C	0.542	0.9441	0.686	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	mass-spec
YJL147C	MRX5	"Mitochondrial protein of unknown function; homozygous diploid deletion strain has a sporulation defect characterized by elevated dityrosine in the soluble fraction; expression induced by calcium shortage; YJL147W is a non-essential gene"	2	TRUE	3	S. cerevisiae S288C	0.394	0.9507	0.976	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	mass-spec
YPR116W	RRG8	"Putative protein of unknown function; required for mitochondrial genome maintenance; null mutation results in a decrease in plasma membrane electron transport"	2	TRUE	3	S. cerevisiae S288C	0.306	0.3664	0.037	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;Matrix/mitochondrial inner membrane"	mass-spec
YPL252C	YAH1	"Ferredoxin of the mitochondrial matrix; required for formation of cellular iron-sulfur proteins; involved in heme A biosynthesis; homologous to human adrenodoxin"	2	TRUE	3	S. cerevisiae S288C	0.963	0.9938	0.984	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	"mass-spec;Gene Ontology"
YKL055C	OAR1	"Mitochondrial 3-oxoacyl-[acyl-carrier-protein] reductase; may comprise a type II mitochondrial fatty acid synthase along with Mct1p"	2	TRUE	3	S. cerevisiae S288C	0.244	0.9166	0.404	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	mass-spec
YLL027W	ISA1	"Protein required for maturation of mitochondrial [4Fe-4S] proteins; functions in a complex with Isa2p and possibly Iba57p; isa1 deletion causes loss of mitochondrial DNA and respiratory deficiency; depletion reduces growth on nonfermentable carbon sources; functional ortholog of bacterial A-type ISC proteins"	2	TRUE	3	S. cerevisiae S288C	0.863	0.9776	0.98	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YNL328C	MDJ2	"Constituent of the mitochondrial import motor; associated with the presequence translocase; function overlaps with that of Pam18p; stimulates the ATPase activity of Ssc1p to drive mitochondrial import; contains a J domain"	2	TRUE	3	S. cerevisiae S288C	0.059	0.5005	0.003	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YKL011C	CCE1	"Mitochondrial cruciform cutting endonuclease; cleaves Holliday junctions formed during recombination of mitochondrial DNA; CCE1 has a paralog, MRS1, that arose from the whole genome duplication"	2	TRUE	3	S. cerevisiae S288C	0.084	0.6068	0.03	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial inner membrane	"mass-spec;Gene Ontology"
YOR236W	DFR1	"Dihydrofolate reductase involved in tetrahydrofolate biosynthesis; required for respiratory metabolism"	2	FALSE	2	S. cerevisiae S288C	0.039	0.0513	0.028	"cytosol;mitochondrion"	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	mass-spec
YCR079W	PTC6	"Mitochondrial type 2C protein phosphatase (PP2C); has similarity to mammalian PP1Ks; involved in mitophagy; null mutant is sensitive to rapamycin and has decreased phosphorylation of the Pda1 subunit of pyruvate dehydrogenase"	2	TRUE	2	S. cerevisiae S288C	0.364	0.8409	0.014	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial intermembrane space;mitochondrial matrix"	"mass-spec;Gene Ontology"
YOR130C	ORT1	"Ornithine transporter of the mitochondrial inner membrane; exports ornithine from mitochondria as part of arginine biosynthesis; human ortholog is associated with hyperammonaemia-hyperornithinaemia-homocitrullinuria (HHH) syndrome"	2	TRUE	2	S. cerevisiae S288C	0.044	0.039	0	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial inner membrane	"mass-spec;Gene Ontology"
YPL159C	PET20	"Mitochondrial protein; required for respiratory growth under some conditions and for stability of the mitochondrial genome"	2	TRUE	2	S. cerevisiae S288C	0.899	0.9956	0.998	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	mass-spec
YDL033C	SLM3	"tRNA-specific 2-thiouridylase; responsible for 2-thiolation of the wobble base of mitochondrial tRNAs; human ortholog is implicated in myoclonus epilepsy associated with ragged red fibers (MERRF)"	2	TRUE	2	S. cerevisiae S288C	0.92	0.8726	0.575	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	Gene Ontology
YKR087C	OMA1	"Metalloendopeptidase of the mitochondrial inner membrane; important for adaptive responses to various homeostatic insults and preservation of normal mitochondrial function under damage-eliciting conditions; involved in turnover of membrane-embedded proteins; mediates degradation of Cox1p in coa2 mutant cells; member of a family of predicted membrane-bound metallopeptidases in prokaryotes and higher eukaryotes"	2	TRUE	2	S. cerevisiae S288C	0.685	0.9575	0.94	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YJL071W	ARG2	"Acetylglutamate synthase (glutamate N-acetyltransferase); mitochondrial enzyme that catalyzes the first step in the biosynthesis of the arginine precursor ornithine; forms a complex with Arg5,6p"	2	TRUE	2	S. cerevisiae S288C	0.222	0.5514	0.437	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YDL107W	MSS2	"Peripherally bound inner membrane protein of the mitochondrial matrix; involved in membrane insertion of C-terminus of Cox2p, interacts genetically and physically with Cox18p"	2	TRUE	2	S. cerevisiae S288C	0.437	0.7688	0.546	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YHR162W	MPC2	"Highly conserved subunit of the mitochondrial pyruvate carrier; a mitochondrial inner membrane complex comprised of Mpc1p and either Mpc2p or Mpc3p mediates mitochondrial pyruvate uptake; more highly expressed in glucose-containing minimal medium than in lactate-containing medium; MPC2 has a paralog, FMP43, that arose from the whole genome duplication"	2	TRUE	2	S. cerevisiae S288C	0.612	0.966	0.355	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YKL162C		"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion"	2	TRUE	2	S. cerevisiae S288C	0.323	0.1068	0.146	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial inner membrane	mass-spec
YGR101W	PCP1	"Mitochondrial serine protease; required for the processing of various mitochondrial proteins and maintenance of mitochondrial DNA and morphology; belongs to the rhomboid-GlpG superfamily of intramembrane peptidases"	2	TRUE	2	S. cerevisiae S288C	0.924	0.9943	0.99	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YDR185C	UPS3	"Mitochondrial protein of unknown function; similar to Ups1p and Ups2p which are involved in regulation of mitochondrial cardiolipin and phosphatidylethanolamine levels; null is viable but interacts synthetically with ups1 and ups2 mutations; UPS3 has a paralog, UPS2, that arose from the whole genome duplication"	2	TRUE	2	S. cerevisiae S288C	0.083	0.0385	0.019	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YOR305W	RRG7	"Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion; deletion confers sensitivity to 4-(N-(S-glutathionylacetyl)amino) phenylarsenoxide (GSAO); YOR305W is not an essential gene"	2	TRUE	2	S. cerevisiae S288C	0.684	0.745	0.566	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial inner membrane	mass-spec
YKL138C	MRPL31	Mitochondrial ribosomal protein of the large subunit	2	TRUE	2	S. cerevisiae S288C	0.621	0.7235	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YDR115W		"Putative mitochondrial ribosomal protein of the large subunit; similar to E. coli L34 ribosomal protein; required for respiratory growth, as are most mitochondrial ribosomal proteins; protein increases in abundance and relocalizes to the plasma membrane upon DNA replication stress"	2	TRUE	2	S. cerevisiae S288C	0.915	0.9997	0.987	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	Gene Ontology
YNL122C		"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YNL122C is not an essential gene"	2	TRUE	2	S. cerevisiae S288C	0.416	0.9979	0.1	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YLR283W		"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YLR283W is not an essential gene"	2	TRUE	2	S. cerevisiae S288C	0.94	0.9652	0.991	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	mass-spec
YPL107W		"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YPL107W is not an essential gene"	2	TRUE	2	S. cerevisiae S288C	0.871	0.9735	0.146	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	mass-spec
YLR281C		"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YLR281C is not an essential gene"	2	TRUE	2	S. cerevisiae S288C	0.682	0.9013	0.894	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	"mass-spec;Gene Ontology"
YEL006W	YEA6	"Putative mitochondrial NAD+ transporter; member of the mitochondrial carrier subfamily (see also YIA6); has putative human ortholog; YEA6 has a paralog, YIA6, that arose from the whole genome duplication"	2	TRUE	2	S. cerevisiae S288C	0.099	0.0225	0.009	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YNL081C	SWS2	"Putative mitochondrial ribosomal protein of the small subunit; has similarity to E. coli S13 ribosomal protein; participates in controlling sporulation efficiency; localizes to vacuole in response to H2O2"	2	TRUE	2	S. cerevisiae S288C	0.137	0.3498	0.052	"cytosol;mitochondrion"	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix/mitochondrial inner membrane	mass-spec
YHR011W	DIA4	"Probable mitochondrial seryl-tRNA synthetase; mutant displays increased invasive and pseudohyphal growth"	2	TRUE	2	S. cerevisiae S288C	0.633	0.7884	0.832	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YPL183W-A	RTC6	"Protein involved in translation; mutants have defects in biogenesis of nuclear ribosomes; sequence similar to prokaryotic ribosomal protein L36, may be a mitochondrial ribosomal protein; protein abundance increases in response to DNA replication stress"	2	TRUE	2	S. cerevisiae S288C	0.711	0.9899	0.581	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YGR046W	TAM41	"Mitochondrial phosphatidate cytidylyltransferase (CDP-DAG synthase); required for cardiolipin biosynthesis; viability of null mutant is strain-dependent; mRNA is targeted to the bud; mutant displays defect in mitochondrial protein import, likely due to altered membrane lipid composition"	2	TRUE	2	S. cerevisiae S288C	0.603	0.9863	0.985	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YMR003W	AIM34	"Protein of unknown function; GFP-fusion protein localizes to the mitochondria; null mutant is viable and displays reduced frequency of mitochondrial genome loss"	2	TRUE	2	S. cerevisiae S288C	0.685	0.8764	0.277	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	mass-spec
YMR064W	AEP1	"Protein required for expression of the mitochondrial OLI1 gene; mitochondrial OLI1 gene encodes subunit 9 of F1-F0 ATP synthase"	2	TRUE	2	S. cerevisiae S288C	0.443	0.9753	0.171	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	mass-spec
YBR163W	EXO5	"Mitochondrial 5'-3' exonuclease and sliding exonuclease; required for mitochondrial genome maintenance; distantly related to the RecB nuclease domain of bacterial RecBCD recombinases; may be regulated by the transcription factor Ace2"	2	TRUE	2	S. cerevisiae S288C	0.775	0.7918	0.728	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	mass-spec
YHR059W	FYV4	"Protein of unknown function; required for survival upon exposure to K1 killer toxin"	2	TRUE	2	S. cerevisiae S288C	0.855	0.9569	0.999	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	mass-spec
YDL164C	CDC9	"DNA ligase found in the nucleus and mitochondria; an essential enzyme that joins Okazaki fragments during DNA replication; also acts in ribonucleotide excision repair, base excision repair, and recombination,"	2	TRUE	2	S. cerevisiae S288C	0.941	0.9627	0.954	"mitochondrion;nucleus"	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	mass-spec
YGR062C	COX18	"Protein required for membrane insertion of C-terminus of Cox2p; mitochondrial integral inner membrane protein; interacts genetically and physically with Mss2p and Pnt1p; similar to S. cerevisiae Oxa1, N. crassa Oxa2p, and E. coli YidC"	2	TRUE	2	S. cerevisiae S288C	0.839	0.9555	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YOR226C	ISU2	"Protein required for synthesis of iron-sulfur proteins; localized to the mitochondrial matrix; performs a scaffolding function in mitochondria during Fe/S cluster assembly; involved in Fe-S cluster assembly for both mitochondrial and cytosolic proteins; isu1 isu2 double mutant is inviable; protein abundance increases in response to DNA replication stress; evolutionarily conserved; ISU2 has a paralog, ISU1, that arose from the whole genome duplication"	2	TRUE	2	S. cerevisiae S288C	0.826	0.9574	0.954	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YGL219C	MDM34	"Mitochondrial component of the ERMES complex; links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; required for mitophagy; ERMES complex is often co-localized with peroxisomes and with concentrated areas of pyruvate dehydrogenase"	4	TRUE	1	S. cerevisiae S288C	0.219	0.2299	0	"mitochondrion;endoplasmic reticulum"	"MassSpec;GFP;Gene Ontology"	mitochondrial outer membrane	"mass-spec;Gene Ontology"
YLR289W	GUF1	"Mitochondrial matrix GTPase; associates with mitochondrial ribosomes; important for translation under temperature and nutrient stress; may have a role in translational fidelity; similar to bacterial LepA elongation factor"	2	TRUE	2	S. cerevisiae S288C	0.911	0.9388	0.576	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YPR061C	JID1	"Probable Hsp40p co-chaperone; has a DnaJ-like domain and appears to be involved in ER-associated degradation of misfolded proteins containing a tightly folded cytoplasmic domain; inhibits replication of Brome mosaic virus in S. cerevisiae"	2	TRUE	2	S. cerevisiae S288C	0.034	0.1141	0.041	mitochondrion	"MassSpec;GFP;Gene Ontology"	-	-
YGL023C	PIB2	"Protein of unknown function; contains FYVE domain; similar to Fab1 and Vps27"	2	FALSE	1	S. cerevisiae S288C	0.046	0.081	0	"mitochondrion;vacuole"	"MassSpec;GFP;Gene Ontology"	-	-
YJR111C		"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondria"	2	FALSE	1	S. cerevisiae S288C	0.281	0.3703	0.075	"mitochondrion;peroxisome"	"MassSpec;GFP;Gene Ontology"	-	-
YLR132C	USB1	"Putative phosphodiesterase specific for U6 snRNA 3' end modification; trims the 3' poly(u) tract to leave a terminal 3' phosphate; human homolog, hUSB1 (aka C16orf57) produces a 2',3' cyclic phosphate; mutations in hUSB1 are associated with a rare skin condition (OMIM 604173); essential protein that localizes to the nucleus and mitochondria; overexpression suppresses the respiratory defects of oxa1 and mtf2 mutants"	2	TRUE	1	S. cerevisiae S288C	0.072	0.0146	0	"mitochondrion;nucleus"	"MassSpec;GFP;Gene Ontology"	-	-
YJR062C	NTA1	"Amidase; removes the amide group from N-terminal asparagine and glutamine residues to generate proteins with N-terminal aspartate and glutamate residues that are targets of ubiquitin-mediated degradation"	2	FALSE	1	S. cerevisiae S288C	0.028	0.1902	0.032	mitochondrion	"MassSpec;GFP"	mitochondrial matrix/mitochondrial inner membrane	mass-spec
YLR109W	AHP1	"Thiol-specific peroxiredoxin; reduces hydroperoxides to protect against oxidative damage; function in vivo requires covalent conjugation to Urm1p"	2	FALSE	0	S. cerevisiae S288C	0.095	0.156	0	mitochondrion	MassSpec	mitochondrial inner membrane	mass-spec
YLR151C	PCD1	"8-oxo-dGTP diphosphatase; prevents spontaneous mutagenesis via sanitization of oxidized purine nucleoside triphosphates; can also act as peroxisomal pyrophosphatase with specificity for coenzyme A and CoA derivatives, may function to remove potentially toxic oxidized CoA disulfide from peroxisomes to maintain the capacity for beta-oxidation of fatty acids; nudix hydrolase family member; similar E. coli MutT and human, rat and mouse MTH1"	2	FALSE	0	S. cerevisiae S288C	0.865	0.9461	0.937	"mitochondrion;peroxisome"	"MassSpec;Gene Ontology"	mitochondrial matrix	mass-spec
YEL002C	WBP1	"Beta subunit of the oligosaccharyl transferase glycoprotein complex; required for N-linked glycosylation of proteins in the endoplasmic reticulum"	2	FALSE	0	S. cerevisiae S288C	0.019	0.0797	0.017	"mitochondrion;nucleus;endoplasmic reticulum"	"MassSpec;Gene Ontology"	mitochondrial outer membrane	mass-spec
YDR406W	PDR15	"Plasma membrane ATP binding cassette (ABC) transporter; multidrug transporter and general stress response factor implicated in cellular detoxification; regulated by Pdr1p, Pdr3p and Pdr8p; promoter contains a PDR responsive element; PDR15 has a paralog, PDR5, that arose from the whole genome duplication"	2	FALSE	0	S. cerevisiae S288C	0.493	0.4617	0	"mitochondrion;plasma membrane"	"MassSpec;Gene Ontology"	mitochondrial matrix/mitochondrial inner membrane	mass-spec
YHL018W		"Putative 4a-hydroxytetrahydrobiopterin dehydratase; green fluorescent protein (GFP)-fusion protein localizes to mitochondria and is induced in response to the DNA-damaging agent MMS"	2	FALSE	1	S. cerevisiae S288C	0.241	0.5944	0.013	mitochondrion	"MassSpec;GFP"	mitochondrial matrix/mitochondrial inner membrane	mass-spec
YBR025C	OLA1	"P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; null mutant displays increased translation rate and increased readthrough of premature stop codons; protein abundance increases in response to hydrogen peroxide and to DNA replication stress"	2	FALSE	0	S. cerevisiae S288C	0.108	0.0056	0.034	mitochondrion	MassSpec	mitochondrial inner membrane	mass-spec
YOL025W	LAG2	"Protein that negatively regulates the SCF E3-ubiquitin ligase; regulates by interacting with and preventing neddyation of the cullin subunit, Cdc53p; longevity determinant that is preferentially expressed in young cells; similar to mammalian Cand1"	2	FALSE	1	S. cerevisiae S288C	0.11	0.1155	0.026	mitochondrion	"MassSpec;GFP"	-	-
YGL156W	AMS1	"Vacuolar alpha mannosidase; involved in free oligosaccharide (fOS) degradation; delivered to the vacuole in a novel pathway separate from the secretory pathway"	2	FALSE	0	S. cerevisiae S288C	0.053	0.048	0	"mitochondrion;vacuole"	"MassSpec;Gene Ontology"	mitochondrial matrix	mass-spec
YGL169W	SUA5	"Protein involved in threonylcarbamoyl adenosine biosynthesis; Sua5p and Qri7p are necessary and sufficient for RNA t6A modification in vitro; null mutant lacks N6-threonylcarbamoyl adenosine (t6A) modification in the anticodon loop of ANN-decoding tRNA; member of conserved YrdC/Sua5 family; binds single-stranded telomeric DNA and null mutant has abnormal telomere length"	2	FALSE	1	S. cerevisiae S288C	0.18	0.4791	0.005	"mitochondrion;nucleus"	"MassSpec;GFP;Gene Ontology"	mitochondrial intermembrane space/mitochondrial inner membrane	mass-spec
YML050W	AIM32	"Putative protein of unknown function; null mutant is viable and displays elevated frequency of mitochondrial genome loss"	2	FALSE	1	S. cerevisiae S288C	0.742	0.9314	0.913	mitochondrion	"MassSpec;GFP"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	mass-spec
YHR039C	MSC7	"Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; msc7 mutants are defective in directing meiotic recombination events to homologous chromatids"	2	FALSE	0	S. cerevisiae S288C	0.079	0.1085	0.008	"mitochondrion;endoplasmic reticulum"	"MassSpec;Gene Ontology"	mitochondrial outer membrane	mass-spec
YLR017W	MEU1	"Methylthioadenosine phosphorylase (MTAP); catalyzes the initial step in the methionine salvage pathway; affects polyamine biosynthesis through regulation of ornithine decarboxylase (Spe1p) activity; regulates ADH2 gene expression"	2	FALSE	0	S. cerevisiae S288C	0.445	0.9766	0.469	"mitochondrion;nucleus"	"MassSpec;Gene Ontology"	mitochondrial matrix/mitochondrial inner membrane	mass-spec
